id,from_company_id,to_company_id,project_id,bid_id,subject,content,is_read,message_type,status,created_date
1,8,2,1,1,שאלה לגבי פרויקט האי-קומרס,שלום דוד סקרתי את ההצעה שלך לפרויקט האי-קומרס האם תוכל לספק פרטים נוספים על תכונות פאנל הניהול?,FALSE,2,1,2025-11-06 10:00:00
2,2,8,1,1,תשובה: שאלה לגבי פרויקט האי-קומרס,שלום איילת תודה על העניין! פאנל הניהול כולל ניהול מלאי מעקב הזמנות ניהול לקוחות ואנליטיקה מפורטת אשמח לדון בפרטים נוספים,TRUE,2,1,2025-11-06 10:00:00
3,9,4,2,3,דרישות אפליקציית מובייל,שלום מיכאל ההצעה שלך נראית מבטיחה האם נוכל לתאם שיחה כדי לדון בדרישות האינטגרציה עם מערכת הקופה בפירוט?,FALSE,3,1,2025-11-06 10:00:00
4,3,8,3,5,הצעת עיצוב מותג,שלום איילת הייתי אוהבת לעבוד על פרויקט הזהות המותגית שלך יש לי ניסיון עם סטארט-אפים טכנולוגיים ואני יכולה לספק עיצוב מודרני ומקצועי,FALSE,3,1,2025-11-06 10:00:00
5,6,9,4,7,אסטרטגיית קמפיין קידום אתרים,שלום רונן סקרתי את הדרישות שלך והכנתי אסטרטגיית קידום אתרים מקיפה האם תרצה לראות מקרי בוחן מפרויקטים דומים?,TRUE,3,1,2025-11-06 10:00:00
6,1,2,,,עדכון פלטפורמה,שלום דוד יש לנו תכונות חדשות שמגיעות לפלטפורמה בחודש הבא האם תהיה מעוניין לעשות בטא טסט?,FALSE,4,1,2025-11-06 10:00:00
7,10,8,3,6,סקירת תיק עבודות,שלום איילת בבקשה תעיני בתיק העבודות שלי באתר alexdesigns.co.il עבדתי על כמה מותגים של סטארט-אפים טכנולוגיים ואשמח לדון על הפרויקט שלך,TRUE,3,1,2025-11-06 10:00:00
8,4,9,2,3,פגישת הבהרות לאפליקציה,שלום רונן לאחר שיחתנו הכנתי מסמך דרישות מפורט לאפליקציה מתי נוח לך לקבוע פגישת המשך?,FALSE,2,1,2025-11-06 10:00:00
9,5,8,5,8,הצגת דמו לדשבורד,שלום איילת הכנתי דמו ראשוני של הדשבורד עם הנתונים שלך האם תרצי לקבוע פגישה להצגה?,TRUE,3,1,2025-11-06 10:00:00
10,7,9,,,הצעת שירותי כתיבה,שלום רונן ראיתי שאתם מחפשים שירותי תוכן אני מתמחה בכתיבה לעסקים קמעונאיים ואשמח לסייע בפרויקטים שלכם,FALSE,1,1,2025-11-06 10:00:00